Loan_ID,Customer_ID,Loan_Type,Customer_Age,Gender,Employment_Type,Annual_Income,Credit_Score,Region,Loan_Amount,Interest_Rate,Tenure_Months,Loan_Start_Date,Loan_End_Date,Monthly_EMI,Payments_Made,Payments_Missed,Days_Past_Due,Outstanding_Principal,Total_Interest_Paid,Payment_Status,Default_Flag,Collateral,Debt_to_Income,Loan_to_Income,Risk_Category,Origination_Channel,Customer_Segment,Prepayment_Eligible,Prepayment_Charge
LN000001,CUST00776,Home,52,Female,Professional,703372,690,Mumbai,3648659,8.94,120,2025-04-06,2035-04-06 12:00:00,46108.64,16,0,0,3328502.85,417582.11,Current,0,Yes,0.709,5.1874,High,Digital,Mass Market,Yes,1
LN000002,CUST04681,Business,56,Male,Self-Employed,981692,622,Bengaluru,1456149,17.43,48,2026-02-27,2030-02-27 00:00:00,42339.02,5,0,0,1347061.1,102607.19,Current,0,Yes,0.4856,1.4833,High,Partner,Mass Affluent,Yes,2
LN000003,CUST01950,Auto,57,Male,Business Owner,1025658,623,Hyderabad,323765,12.59,48,2023-12-15,2027-12-15 00:00:00,8619.6,32,0,0,126354.29,78416.51,Current,0,Yes,0.0882,0.3157,High,Digital,Mass Affluent,Yes,3
LN000004,CUST03006,Auto,34,Male,Salaried,848437,765,Hyderabad,1607638,9.55,36,2026-04-24,2029-04-23 18:00:00,51538.06,3,0,0,1490494.97,37471.16,Current,0,Yes,0.7114,1.8948,High,Direct Sales,Mass Affluent,Yes,3
LN000005,CUST00341,Personal,47,Female,Professional,1273489,791,Delhi NCR,761691,12.47,24,2024-11-25,2026-11-25 12:00:00,36021.3,20,0,0,140419.63,99154.53,Current,0,No,0.3259,0.5981,Low,Branch,Mass Affluent,Yes,2
LN000006,CUST06639,Personal,39,Male,Self-Employed,1236626,667,Hyderabad,643580,11.52,72,2024-10-04,2030-10-04 12:00:00,12420.49,22,0,0,491428.17,121098.86,Current,0,No,0.0887,0.5204,Medium,Branch,Mass Affluent,Yes,1
LN000007,CUST06574,Personal,51,Male,Salaried,792947,757,Mumbai,202222,14.72,72,2023-12-31,2029-12-30 12:00:00,4245.28,31,0,0,136146.67,65528.22,Current,0,No,0.0779,0.255,Low,Digital,Mass Market,No,0
LN000008,CUST05621,Business,29,Male,Salaried,617941,745,Ahmedabad,1044565,12.76,48,2023-04-02,2027-04-02 00:00:00,27896.55,40,0,0,212864.69,284161.58,Current,0,Yes,0.5645,1.6904,High,Branch,Mass Market,Yes,2
LN000009,CUST03012,Auto,58,Male,Self-Employed,747036,632,Mumbai,705653,11.7,48,2025-04-27,2029-04-27 00:00:00,18479.15,15,0,0,519285.26,90819.51,Current,0,Yes,0.3121,0.9446,High,Direct Sales,Mass Market,Yes,0
LN000010,CUST06014,Auto,37,Male,Salaried,292917,738,Chennai,571599,9.96,60,2025-03-09,2030-03-09 06:00:00,12133.84,17,0,0,437286.78,71963.1,Current,0,Yes,0.4182,1.9514,Medium,Partner,Mass Market,Yes,2
LN000011,CUST04131,Personal,39,Male,Self-Employed,505009,748,Hyderabad,222859,10.7,24,2023-04-18,2025-04-17 12:00:00,10356.12,24,0,0,0.0,25687.91,Current,0,No,0.2542,0.4413,Low,Branch,Mass Market,No,0
LN000012,CUST01286,Business,24,Male,Salaried,408881,694,Mumbai,2726404,10.07,60,2024-10-01,2029-10-01 06:00:00,58026.69,22,1,0,1881220.64,431403.92,Current,0,Yes,0.75,6.668,High,Digital,Mass Market,Yes,3
LN000013,CUST00016,Education,31,Male,Self-Employed,996477,688,Bengaluru,1279931,12.47,48,2026-06-27,2030-06-27 00:00:00,34001.88,1,0,0,1259230.19,13301.07,Current,0,No,0.39,1.2845,Medium,Branch,Mass Affluent,Yes,0
LN000014,CUST01108,Personal,42,Male,Self-Employed,1242816,723,Jaipur,627428,11.04,48,2023-01-18,2027-01-18 00:00:00,16227.35,43,0,0,78945.25,149293.39,Current,0,No,0.2016,0.5048,Medium,Direct Sales,Mass Affluent,Yes,2
LN000015,CUST03960,Personal,24,Male,Business Owner,892745,667,Hyderabad,319770,15.33,36,2023-06-23,2026-06-22 18:00:00,11136.0,36,0,0,0.0,81126.16,Current,0,No,0.1689,0.3582,Medium,Digital,Mass Affluent,Yes,3
LN000016,CUST00198,Personal,37,Female,Self-Employed,610883,774,Chennai,520346,15.25,24,2024-06-19,2026-06-19 12:00:00,25292.82,24,0,0,0.0,86681.65,Current,0,No,0.4425,0.8518,Medium,Direct Sales,Mass Market,Yes,1
LN000017,CUST05642,Personal,28,Female,Business Owner,455754,709,Bengaluru,776486,11.15,36,2023-09-21,2026-09-20 18:00:00,25476.99,35,0,0,25242.41,140450.98,Current,0,No,0.7123,1.7037,High,Digital,Mass Market,No,0
LN000018,CUST00492,Home,54,Female,Professional,990018,686,Chennai,6542121,8.75,120,2026-04-12,2036-04-11 12:00:00,81979.39,4,0,0,6403440.74,189237.28,Current,0,Yes,0.75,6.6081,High,Branch,Mass Affluent,Yes,2
LN000019,CUST04451,Home,31,Female,Self-Employed,1073556,702,Delhi NCR,2220940,10.01,120,2026-04-26,2036-04-25 12:00:00,29360.14,3,0,0,2188157.46,55297.87,Current,0,Yes,0.3111,2.0688,Medium,Digital,Mass Affluent,Yes,3
LN000020,CUST06455,Personal,51,Male,Business Owner,620862,765,Hyderabad,201594,14.33,72,2024-11-16,2030-11-16 12:00:00,4189.55,21,1,0,159337.02,45723.65,Current,0,No,0.0753,0.3247,Low,Partner,Mass Market,Yes,2
LN000021,CUST01581,Auto,31,Male,Salaried,668931,702,Hyderabad,539002,10.35,60,2026-05-25,2031-05-25 06:00:00,11545.08,2,0,0,525149.6,9237.76,Current,0,Yes,0.1499,0.8058,Medium,Partner,Mass Market,Yes,2
LN000022,CUST05235,Personal,58,Male,Business Owner,549321,685,Mumbai,338864,16.14,60,2024-08-08,2029-08-08 06:00:00,8266.46,24,0,0,234654.9,94185.93,Current,0,No,0.1682,0.6169,Medium,Partner,Mass Market,No,0
LN000023,CUST04945,Personal,41,Male,Salaried,793738,623,Mumbai,193732,11.9,72,2024-04-23,2030-04-23 12:00:00,3777.07,27,0,0,136580.29,44829.12,Current,0,No,0.05,0.2441,High,Partner,Mass Market,Yes,1
LN000024,CUST01796,Home,50,Male,Professional,539356,719,Chennai,2634905,8.14,120,2024-07-27,2034-07-27 12:00:00,32158.62,24,0,0,2263734.17,400635.95,Current,0,Yes,0.7038,4.8853,High,Partner,Mass Market,Yes,0
LN000025,CUST00450,Home,30,Male,Salaried,625832,694,Hyderabad,5442346,7.94,120,2024-03-05,2034-03-05 12:00:00,65858.72,29,0,1,4491588.72,959145.68,Current,0,Yes,0.75,8.6962,High,Branch,Mass Market,Yes,1
LN000026,CUST06650,Education,46,Male,Salaried,370549,644,Pune,1307715,10.86,120,2024-02-07,2034-02-06 12:00:00,17908.27,30,1,0,1099357.38,328890.49,Current,0,No,0.6458,3.5291,High,Partner,Mass Market,Yes,1
LN000027,CUST00990,Personal,47,Female,Salaried,737188,734,Pune,568240,9.7,60,2024-05-29,2029-05-29 06:00:00,11990.56,26,0,0,355194.56,98709.06,Current,0,No,0.2546,0.7708,Medium,Direct Sales,Mass Market,No,0
